sku;main_category;sub_category;product_name;price
SKN001;Skincare;Creme Viso;Crema Idratante Quotidiana;29.99
SKN002;Skincare;Creme Viso;Crema Anti-Rossore;34.99
SKN003;Skincare;Creme Viso;Crema Anti-Inquinamento;30.99
SKN004;Skincare;Creme Viso;Crema Rigenerante Notte;37.99
SKN005;Skincare;Creme Viso;Crema Illuminante;25.99
SKN006;Skincare;Sieri;Siero Acido Ialuronico;45.99
SKN007;Skincare;Sieri;Siero Vitamina C;47.99
SKN008;Skincare;Sieri;Siero Rinnovatore;42.99
SKN009;Skincare;Creme Notte;Crema Notte Riparatrice;39.99
SKN010;Skincare;Creme Notte;Crema Notte Anti-Età;55.99
SKN011;Skincare;Creme Notte;Crema Notte Idratante Intensiva;33.99
SKN012;Skincare;Creme Notte;Crema Notte Pelli Sensibili;29.99
SKN013;Skincare;Maschere Viso;Maschera Detox Argilla;19.99
SKN014;Skincare;Maschere Viso;Maschera Idratante;24.99
SKN015;Skincare;Maschere Viso;Maschera Esfoliante;22.99
SKN016;Skincare;Maschere Viso;Maschera Peel-off Illuminante;17.99
SKN017;Skincare;Maschere Viso;Maschera Notte Rimpolpante;27.99
SKN018;Skincare;Pulizia Viso;Gel Detergente Profondo;14.99
SKN019;Skincare;Pulizia Viso;Olio Detergente;22.99
SKN020;Skincare;Pulizia Viso;Mousse Detergente;12.99
MKP001;MakeUp;Smalti;Smalto Gel Lunga Durata;9.99
MKP002;MakeUp;Smalti;Smalto Effetto Opaco;7.99
MKP003;MakeUp;Smalti;Smalto Rinforzante e Brillante;12.99
MKP004;MakeUp;Smalti;Smalto Rapida Asciugatura;10.99
MKP005;MakeUp;Smalti;Smalto Ipoallergenico;8.99
MKP006;MakeUp;Smalti;Top Coat Effetto Gel;10.49
MKP007;MakeUp;Rossetti;Rossetto Idratante Color Ciliegia;15.99
MKP008;MakeUp;Rossetti;Rossetto Matte Lunga Tenuta;17.99
MKP009;MakeUp;Rossetti;Rossetto Liquido Effetto Velluto;19.99
MKP010;MakeUp;Rossetti;Tinta Labbra No Transfer;16.99
MKP011;MakeUp;Rossetti;Balsamo Labbra Colorato;12.99
MKP012;MakeUp;Mascara;Mascara Volumizzante Waterproof;24.99
MKP013;MakeUp;Mascara;Mascara Allungante e Definente;22.99
MKP014;MakeUp;Mascara;Mascara Effetto Ciglia Finte;20.99
MKP015;MakeUp;Mascara;Mascara Curvante e Nutriente;18.99
MKP016;MakeUp;Eyeliner;Eyeliner Liquido Precisione;14.99
MKP017;MakeUp;Eyeliner;Eyeliner in Gel Lunga Tenuta;16.99
MKP018;MakeUp;Eyeliner;Eyeliner Pennarello Waterproof;12.99
MKP019;MakeUp;Eyeliner;Kajal Matita Occhi Intenso;9.99
MKP020;MakeUp;Correttori;Correttore Liquido Illuminante;21.99
MKP021;MakeUp;Correttori;Correttore Stick Coprente;19.99
MKP022;MakeUp;Struccanti;Acqua Micellare Struccante;14.99
MKP023;MakeUp;Struccanti;Latte Detergente Delicato;12.99
